Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
14:13:14,20.4,50.6,66.2,1.55,Idle,On
14:13:17,20.4,50.4,66.1,1.55,Idle,On
14:13:19,20.4,50.5,66.1,1.55,Idle,On
14:13:21,20.4,50.5,66.2,1.56,Idle,On
14:13:23,20.4,50.4,66.1,1.54,Idle,On
14:13:26,Error,Error,66.1,1.55,Idle,On
14:13:28,20.4,50.5,66.1,1.55,Idle,On
14:13:30,20.4,50.4,66.1,1.56,Idle,On
14:13:32,20.4,50.5,66.2,1.55,Idle,On
14:13:35,20.4,50.5,66.1,1.56,Idle,On
14:13:37,20.4,50.4,66.3,1.56,Idle,On
14:13:39,20.4,50.4,66.2,1.54,Idle,On
14:13:41,20.4,50.4,66.2,1.56,Idle,On
14:13:44,20.4,50.5,66.1,1.55,Idle,On
14:13:46,20.4,50.4,66.1,1.56,Idle,On
14:13:48,20.4,50.5,66.1,1.56,Idle,On
14:13:50,20.4,50.4,66.2,1.54,Idle,On
14:13:53,20.4,50.5,66.3,1.54,Idle,On
14:13:55,20.4,50.5,66.2,1.56,Idle,On
14:13:57,20.4,50.5,66.2,1.55,Idle,On
14:13:59,20.4,50.4,66.2,1.54,Idle,On
14:14:02,20.5,50.4,66.1,1.55,Idle,On
14:14:04,20.4,50.4,66.2,1.54,Idle,On
14:14:06,20.4,50.4,66.2,1.55,Idle,On
14:14:08,20.4,50.4,66.1,1.54,Idle,On
14:14:11,20.4,50.4,66.1,1.56,Idle,On
14:14:13,20.4,50.5,66.2,1.53,Idle,On
14:14:15,20.4,50.4,66.1,1.54,Idle,On
14:14:18,20.4,50.5,66.1,1.57,Idle,On
14:14:20,20.4,50.5,66.2,1.53,Idle,On
14:14:22,20.4,50.5,66.1,1.55,Idle,On
14:14:24,20.4,50.5,66.2,1.55,Idle,On
14:14:27,20.4,50.4,66.2,1.55,Idle,On
14:14:29,20.4,50.5,66.1,1.52,Idle,On
14:14:31,20.4,50.5,66.2,1.55,Idle,On
14:14:33,20.4,50.4,66.0,1.55,Idle,On
14:14:36,20.4,50.5,66.2,1.54,Idle,On
14:14:38,20.4,50.4,66.2,1.53,Idle,On
14:14:40,20.4,50.5,66.0,1.52,Idle,On
14:14:42,20.4,50.5,66.2,1.53,Idle,On
14:14:45,20.4,50.4,66.5,1.48,Idle,On
14:14:47,20.4,50.4,66.2,1.56,Idle,On
14:14:49,20.4,50.4,66.1,1.56,Idle,On
14:14:51,20.4,50.4,66.1,1.58,Idle,On
14:14:54,20.4,50.5,66.0,1.53,Idle,On
14:14:56,20.4,50.4,66.1,1.55,Idle,On
14:14:58,20.4,50.5,66.2,1.55,Idle,On
14:15:00,20.4,50.5,66.0,1.52,Idle,On
14:15:03,20.4,50.5,66.2,1.56,Idle,On
14:15:05,20.4,50.5,66.0,1.56,Idle,On
14:15:07,20.4,50.5,66.1,1.57,Idle,On
14:15:09,20.4,50.5,66.1,1.56,Idle,On
14:15:12,20.4,50.4,66.1,1.57,Idle,On
14:15:14,20.4,50.5,66.1,1.55,Idle,On
14:15:16,20.4,50.4,66.1,1.56,Idle,On
14:15:18,20.4,50.4,66.2,1.50,Idle,On
14:15:21,20.4,50.4,66.1,1.53,Idle,On
14:15:23,20.4,50.4,66.3,1.51,Idle,On
14:15:25,20.4,50.5,66.1,1.51,Idle,On
14:15:28,20.4,50.6,66.1,1.54,Idle,On
14:15:30,20.4,50.4,66.1,1.50,Idle,On
14:15:32,20.4,50.5,66.1,1.51,Idle,On
14:15:34,20.4,50.6,66.1,1.54,Idle,On
14:15:37,20.4,50.4,66.2,1.51,Idle,On
14:15:39,20.4,50.5,66.1,1.51,Idle,On
14:15:41,20.4,50.4,66.1,1.50,Idle,On
14:15:43,20.4,50.5,66.2,1.51,Idle,On
14:15:46,20.4,50.5,66.2,1.52,Idle,On
14:15:48,20.4,50.5,66.1,1.52,Idle,On
14:15:50,20.4,50.5,66.1,1.52,Idle,On
14:15:52,20.4,50.6,66.1,1.51,Idle,On
14:15:55,20.4,50.5,66.2,1.51,Idle,On
14:15:57,20.4,50.5,66.1,1.50,Idle,On
14:15:59,20.4,50.5,66.1,1.53,Idle,On
14:16:01,20.4,50.5,66.2,1.51,Idle,On
14:16:04,20.4,50.4,66.1,1.51,Idle,On
14:16:06,20.4,50.5,66.1,1.52,Idle,On
14:16:08,20.4,50.5,66.1,1.51,Idle,On
14:16:10,20.4,50.4,66.2,1.52,Idle,On
14:16:13,20.4,50.5,66.1,1.48,Idle,On
14:16:15,20.4,50.5,66.2,1.48,Idle,On
14:16:17,20.4,50.5,66.2,1.55,Idle,On
14:16:19,20.4,50.5,66.0,1.54,Idle,On
14:16:22,20.4,50.5,66.2,1.55,Idle,On
14:16:24,20.4,50.4,66.1,1.53,Idle,On
14:16:26,20.4,50.4,66.1,1.55,Idle,On
14:16:28,20.4,50.5,66.1,1.51,Idle,On
14:16:31,20.4,50.4,66.1,1.51,Idle,On
14:16:33,20.4,50.5,66.1,1.53,Idle,On
14:16:35,20.4,50.5,66.1,1.56,Idle,On
14:16:37,20.4,50.5,66.1,1.55,Idle,On
14:16:40,20.4,50.6,66.1,1.53,Idle,On
14:16:42,20.4,50.5,66.2,1.54,Idle,On
14:16:44,20.4,50.5,66.1,1.55,Idle,On
14:16:47,20.4,50.5,66.1,1.54,Idle,On
